experiment,algorithm,n,average_time,std_dev
Random Integers,Classic,2,1.9499998415994924e-06,3.388785719214203e-07
Random Integers,Strassen,2,1.0890624878356903e-05,3.3254018291538616e-06
Random Integers,Hybrid n0=128,2,1.2781250120497134e-06,2.732533035871862e-07
Random Integers,Classic,4,4.753125097067823e-06,1.7957724277429095e-07
Random Integers,Strassen,4,9.513750012501987e-05,4.7086199421532066e-05
Random Integers,Hybrid n0=128,4,5.134374930548802e-06,2.0870739879229356e-06
Random Integers,Classic,8,2.50500002039189e-05,7.184213124711197e-07
Random Integers,Strassen,8,0.0005990125000607804,1.6881613444805485e-05
Random Integers,Hybrid n0=128,8,2.5928124955498788e-05,9.155411676713864e-07
Random Integers,Classic,16,0.00018915625014415127,8.522794225950426e-06
Random Integers,Strassen,16,0.004692675000057989,0.00031331483201293124
Random Integers,Hybrid n0=128,16,0.00019684374996131737,2.4398730051848794e-05
Random Integers,Classic,32,0.0014912124999000298,0.00022033169685649196
Random Integers,Strassen,32,0.0339752187500153,0.0019406789511453068
Random Integers,Hybrid n0=128,32,0.001465912499895694,8.426731186098213e-05
Random Integers,Classic,64,0.011582065624793358,0.0005565552891651015
Random Integers,Strassen,64,0.24102921250010922,0.004307375522043399
Random Integers,Hybrid n0=128,64,0.011581487500109233,0.0008892097319538446
Random Integers,Classic,128,0.09102915000005396,0.0018080657283026129
Random Integers,Strassen,128,1.8757314843751374,0.14188291313910664
Random Integers,Hybrid n0=128,128,0.09296242812496303,0.0022201602665061827
Random Integers,Classic,256,0.7792021093748644,0.04546424449927961
Random Integers,Strassen,256,13.33176388125014,0.7530953122841009
Random Integers,Hybrid n0=128,256,0.8000324375000787,0.00722614723531792
Random Floats,Classic,2,1.5625000173713488e-06,6.959560876292475e-07
Random Floats,Strassen,2,1.0146875354166696e-05,1.1413019944212378e-06
Random Floats,Hybrid n0=128,2,1.5468750689251465e-06,2.9291017359375817e-07
Random Floats,Classic,4,5.446874979497807e-06,4.087624501674523e-07
Random Floats,Strassen,4,0.000126018750052026,9.585528235725509e-05
Random Floats,Hybrid n0=128,4,5.324999847289291e-06,5.080003450104157e-07
Random Floats,Classic,8,2.9400000130408444e-05,5.073651799827448e-07
Random Floats,Strassen,8,0.0006922843748498053,0.00011986571816099643
Random Floats,Hybrid n0=128,8,2.908124980649518e-05,7.459298394661568e-07
Random Floats,Classic,16,0.0002879156251083259,0.000143713606664577
Random Floats,Strassen,16,0.004976821875118276,0.000506508801530742
Random Floats,Hybrid n0=128,16,0.00021231874984550814,3.143134282496796e-05
Random Floats,Classic,32,0.0014830406249188854,0.00015151271388982713
Random Floats,Strassen,32,0.03590222500008622,0.0017582157912157718
Random Floats,Hybrid n0=128,32,0.001469800000052146,0.0001333827358456051
Random Floats,Classic,64,0.011729453125099099,0.0008930358587230536
Random Floats,Strassen,64,0.2519563968750731,0.005549635226027393
Random Floats,Hybrid n0=128,64,0.011924790624902926,0.0012513225705012298
Random Floats,Classic,128,0.09229525000017702,0.0017120000186438542
Random Floats,Strassen,128,1.7927973437499531,0.04941753952921667
Random Floats,Hybrid n0=128,128,0.09255958124981589,0.008742034206883268
Random Floats,Classic,256,0.7485478812498627,0.02145519310914462
Random Floats,Strassen,256,12.290041018749946,0.4218388854196248
Random Floats,Hybrid n0=128,256,0.6389310062498907,0.011206882252616302
Identity,Classic,2,1.309374908942118e-06,3.0937959731797644e-07
Identity,Strassen,2,9.390624995830876e-06,9.208552069893839e-07
Identity,Hybrid n0=128,2,1.3124999327374098e-06,2.419676937824359e-07
Identity,Classic,4,5.309375012529927e-06,2.2152492416319054e-06
Identity,Strassen,4,9.910937490076321e-05,1.8757490480661464e-05
Identity,Hybrid n0=128,4,5.012499855183705e-06,3.3384372836451613e-07
Identity,Classic,8,2.6856249633055995e-05,2.884434036831888e-06
Identity,Strassen,8,0.0006762468750594053,0.0001386572450733636
Identity,Hybrid n0=128,8,2.6934375057408033e-05,1.0965075605910307e-06
Identity,Classic,16,0.0001902468750358821,4.418152433535383e-05
Identity,Strassen,16,0.004552487500006919,0.00023789341966171443
Identity,Hybrid n0=128,16,0.00018337187475481187,1.8208474667732395e-05
Identity,Classic,32,0.0013604499998791653,4.414121032235237e-05
Identity,Strassen,32,0.03384114062492927,0.005241205143655078
Identity,Hybrid n0=128,32,0.0014865749999444233,0.00015555840731893553
Identity,Classic,64,0.010911915625058555,0.0005145284407242299
Identity,Strassen,64,0.22751036562470972,0.0026389342819809324
Identity,Hybrid n0=128,64,0.010711443749869431,0.00036113748152172487
Identity,Classic,128,0.08543162500023982,0.0011355350531067586
Identity,Strassen,128,1.618237037499739,0.014996158899197053
Identity,Hybrid n0=128,128,0.08672586562488505,0.003667987475698444
Identity,Classic,256,0.7053271656250786,0.02633451244088573
Identity,Strassen,256,11.58170345312493,0.17015461791285433
Identity,Hybrid n0=128,256,0.6337201093750195,0.009522977774632365
Sparse,Classic,2,1.240625124410144e-06,2.5508955810389465e-07
Sparse,Strassen,2,9.34062501301014e-06,9.380348629623678e-07
Sparse,Hybrid n0=128,2,1.2968750411346264e-06,2.2928255913768046e-07
Sparse,Classic,4,4.759374917284731e-06,1.9651697771828082e-07
Sparse,Strassen,4,9.504062512633027e-05,2.7832260788047374e-05
Sparse,Hybrid n0=128,4,7.959375182053918e-06,8.00749442694322e-07
Sparse,Classic,8,2.8615625069505768e-05,6.294652295644213e-06
Sparse,Strassen,8,0.0006494124999107953,6.889736040143874e-05
Sparse,Hybrid n0=128,8,2.932187493343008e-05,1.0827793751073341e-05
Sparse,Classic,16,0.00019187812512200253,3.3879451936954615e-05
Sparse,Strassen,16,0.00475940312514922,0.0003689649544339232
Sparse,Hybrid n0=128,16,0.00021169374980445355,4.79067235183268e-05
Sparse,Classic,32,0.0013802624997651947,0.00010429370686992231
Sparse,Strassen,32,0.03431960937473377,0.0010143832250315223
Sparse,Hybrid n0=128,32,0.0014675812499831409,0.00017760107247767712
Sparse,Classic,64,0.011049934374966597,0.00048534783728473846
Sparse,Strassen,64,0.24890895624980658,0.006107980990258412
Sparse,Hybrid n0=128,64,0.011112078125051994,0.0004474606741003835
Sparse,Classic,128,0.0870494999999778,0.0013769766818786913
Sparse,Strassen,128,1.7771869156247817,0.0319718102453385
Sparse,Hybrid n0=128,128,0.0854697249998253,0.00242133695385435
Sparse,Classic,256,0.6859301875001051,0.009352835473518652
Sparse,Strassen,256,12.911307634374964,0.07333437735742701
Sparse,Hybrid n0=128,256,0.6403135781251308,0.012210550186531114
