n0,n,average_time,std_dev
8,32,0.0029041062501278248,0.00013871510125447874
8,64,0.024007212500066544,0.0025725986255399503
8,128,0.1749432812498526,0.008392147464207158
8,256,1.2543355562498277,0.006857455067473771
16,32,0.0018439312497093852,7.14916438121726e-05
16,64,0.015433353125104077,0.00042586350217805875
16,128,0.11787560624992466,0.0012943916165830828
16,256,0.8823683312500634,0.006744282113207843
32,32,0.001446450000173627,0.00011951729529248481
32,64,0.012355265624989897,0.00033467288854772346
32,128,0.09840754999999035,0.001241323892699049
32,256,0.7437205625001297,0.005240448355630383
64,32,0.0014677093749355663,8.712065180555676e-05
64,64,0.01143570312507336,0.0002853503691537685
64,128,0.09246491562475967,0.001210498215939818
64,256,0.7142993593751044,0.00408824867947941
128,32,0.0014548750001495137,5.3937831639336154e-05
128,64,0.011401606249762608,0.00034519216622453855
128,128,0.09077397812495747,0.0014523706852853546
128,256,0.7085705906251292,0.005280165826084331
